Year,Status,Award,Media,Media2,Name,Url,Error
2001,Winner,Service Journalism Affiliated,PBS,,On Our Own Terms: Moyers on Dying,http://www.pbs.org/wnet/onourownterms/tools/,200
2001,Winner,Breaking News Independent,Rediff.com,,The Gujarat Earthquake,http://www.rediff.com/news/quake.htm,200
2001,Winner,Enterprise Journalism Independent,Salon,,Radio’s Big Bully,http://www.salon.com/ent/clear_channel/,200
2001,Winner,Online Commentary,Slate,,Dahlia Lithwick,http://slate.msn.com/court/entries/01-02-20_101221.asp,200
2001,Winner,General Excellence in Online Journalism Independent,Slate,,,http://www.slate.com,200
2001,Winner,Innovative Presentation of Information Affiliated,Smart Money,,Mutual Fund Map,http://www.smartmoney.com/fundinsight/index.cfm?story=200008151,200
2001,Winner,Feature Journalism Affiliated,Sun-Sentinel,,Witness to an Empidemic — AIDS in the Caribbean,http://www.sun-sentinel.com/witness,200
2001,Winner,Creative Use of the Medium Affiliated,Herald Sun,,Touching Hearts – A Story of Hope &amp; Help in Nicaragua,http://www.heraldsun.com/heart/,301
2001,Winner,Service Journalism Independent,Theme Park Insider,,Accident Watch,http://www.themeparkinsider.com/accidents/,200
2001,Winner,Innovative Presentation of Information Independent,Yahoo!,,Finance Vision,http://financevision.yahoo.com,verified
2002,Finalist,,ABC News,,Sept. 11 coverage,http://abcnews.go.com/sections/us/dailynews/WTC_subindex_sept11.html,#N/A
2002,Finalist,,American Beat,,Gersh Kuntzman,http://www.msnbc.com/news/627477.asp,200
2002,Finalist,,American Radio Works,,,http://www.americanradioworks.org,200
2002,Finalist,,Associated Press,,Torn From the Land,http://wire.ap.org/APpackages/torn/index.html,200
2002,Finalist,,Associated Press,,Red Planet Rising: A Virtual Exploration of Mars,http://wire.ap.org/APpackages/mars_exploration/index.html,200
2002,Finalist,,BabyCenter,ParentCenter.com,,http://www.babycenter.com,200
2002,Finalist,,Benicia News,,Scarpaci Slaying,http://www.benicianews.com/articles/index.cfm?artOID=12979&webpage=0,200
2002,Finalist,,Best of the Web Today,,James Taranto,http://www.opinionjournal.com/best,200
2002,Finalist,,CamasMagazine.com,,Inside Job,http://www.camasmagazine.com/inside_job.html,200
2002,Finalist,,Consumer Reports,,,http://www.consumerreports.org,200
2002,Finalist,,Des Moines Register,,The Truth About Bob,http://DesMoinesRegister.com/extras/bob/index.html,timeout
2002,Finalist,,DigitalJournalist.org,,Seeing the Picture,http://digitaljournalist.org/issue0206/sam_intro.htm,verified
2002,Finalist,,eJournal,,Dan Gillmor,http://www.siliconvalley.com/mld/siliconvalley/business/columnists/dan_gillmor/ejournal/,200
2002,Finalist,,ESPN,,NFL DraftCast,http://sports.espn.go.com/gamecast/nfl/flash/draftCast/2002/draftcast2002.html,200
2002,Finalist,,ESPN,,,http://www.espn.com,200
2002,Finalist,,Globe and Mail,,Canadian Federal Budget,http://www.globeandmail.com/series/budget2001/,200
2002,Finalist,,Gotham Gazette,,,http://www.gothamgazette.com,200
2002,Finalist,,HealthScoutNews,,Sept. 11 Coverage — Health and Safety,http://www.healthscoutnews.com/view.cfm?id=501561,301
2002,Finalist,,Houston Chronicle,,Title IX at 30,http://chronicle.com/stats/genderequity/,timeout
2002,Finalist,,Houston Chronicle,,Ghost Hunter,http://www.houstonchronicle.com/ghosthunter,301
2002,Finalist,,Ivanhoe.com,,,http://www.ivanhoe.com,301
2002,Finalist,,Los Angeles Times,,Ready or Not: Crashing into Adulthood,http://www.latimes.com/news/custom/showcase/la-foster-special.special,301
2002,Finalist,,Los Angeles Times,,Inside the Church of Nativity,http://www.latimes.com/news/custom/showcase/la-051102cole.story,301
2002,Finalist,,Mark Fiore,,Find the Terrorist,http://www.markfiore.com/animation/fresh.html,301
2002,Finalist,,Minnesota Public Radio,,Changing Currents,http://news.mpr.org/features/200205/06_mainstreet_rivers-m/index.shtml,verified
2002,Finalist,,MSNBC,,Airport Security,http://www.msnbc.com/modules/airport_security/airsecurity_front.asp,200
2002,Finalist,,MSNBC,,Christopher Byron,http://www.msnbc.com/news/767013.asp,200
2002,Finalist,,MSNBC,,,http://msnbc.com,verified
2002,Finalist,,New York Times,,Sept. 11 coverage,http://www.nytimes.com/indexes/2001/09/11/index.html,verified
2002,Finalist,,New York Times,,Photographer’s Journal,http://www.nytimes.com/photojournal,200
2002,Finalist,,New York Times,,,http://www.nytimes.com,200
2002,Finalist,,NewClearMedia,,The Enemy Within,http://www.newclearmedia.dk/enemy/within.html,200
2002,Finalist,,One World Journeys,,Salmon: Spirit of the Land and Sea,http://www.oneworldjourneys.com/salmon,200
2002,Finalist,,PackerInsider.com,,,http://www.packerinsider.com,200
2002,Finalist,,PBS,,Today’s Nursing Homes,http://www.pbs.org/newshour/health/nursinghomes/index.html,200
2002,Finalist,,Philadelphia Inquirer,,Loaded for Trouble,http://www.philly.com/mld/inquirer/news/special_packages/dui,200
2002,Finalist,,Rockland Village Soup,,The Sinking of Starbound,http://rockland.villagesoup.com/Government/Story.cfm?StoryID=12390,200
2002,Finalist,,Salon,,Enron coverage,http://www.salon.com/demo/awards/tapper/,200
2002,Finalist,,Salon,,Return to Pakistan,http://www.salon.com/demo/awards/nomani/,200
2002,Finalist,,Salon,,,http://www.salon.com,200
2002,Finalist,,Slate,,,http://www.slate.com,200
2002,Finalist,,St. Thomas Source,,,http://www.stthomassource.com,200
2002,Finalist,,TerrorismAnswers.com,,,http://www.terrorismanswers.com,200
2002,Finalist,,Seattle Times,,The Terrorist Within,http://www.seattletimes.com/terroristwithin,200
2002,Finalist,,Street,,9/11 Coverage,http://www.thestreet.com/tsc/packages/911.html,200
2002,Finalist,,Street,,ImClone,http://www.thestreet.com/stocks/biotech/10001274.html,200
2002,Finalist,,Street,,,http://www.thestreet.com,200
2002,Finalist,,TurnTo10.com,,Operation Plunder Dome,http://www.turnto10.com/plunderdome,200
2002,Finalist,,USA TODAY,,,http://www.usatoday.com,200
2002,Finalist,,WBUR,,,http://www.publicbroadcasting.net/wbur/arts,200
2002,Finalist,,Wired,,Child Pornography series,"http://www.wired.com/news/ebiz/0,1272,45346,00.html",200
2002,Winner,General Excellence in Online Journalism Independent Small,Benicia News,,,http://benicianws.com,#N/A
2002,Winner,Service Journalism Affiliated,Chicago Tribune,,School Report Card,http://www.chicagotribune.com/schools,200
2002,Winner,Breaking News Independent,CNET,,Trouble @ Home,http://news.com.com/2009-1033-276513.html,timeout
2002,Winner,Enterprise Journalism Independent,CNET,,Online Banking Vulnerable to Hackers,http://news.com.com/2009-1017-891346.html,timeout
2002,Winner,General Excellence in Online Journalism Independent,CNET,,,http://www.news.com/,200
2002,Winner,Breaking News Affiliated,CNN,,Sept. 11 coverage,http://www.cnn.com/SPECIALS/2001/trade.center/day.section.html,200
